PC,O,H,L,C
"1,620.90","1,616.25","1,638.00","1,612.85","1,636.00"
525.7,528.1,535.2,524.9,529.1
509.4,508,514.8,503.3,507.25
"1,874.25","1,870.00","1,895.00","1,850.80","1,890.00"
60.45,60,60.8,59.3,59.5
741.7,739,748.8,738.9,741.85
"1,145.50","1,143.90","1,159.00","1,137.05","1,151.50"
"1,779.20","1,779.20","1,802.65","1,755.00","1,761.45"
263.45,266.2,269.7,261,264
570.7,572,579.5,568.5,574.55
"3,055.25","3,060.00","3,100.00","3,060.00","3,100.00"
510.1,513,519.7,502.05,505.2
318.25,318.25,322.4,314.4,320
300.8,303,306.95,295.25,302
"1,450.15","1,421.00","1,439.50","1,388.50","1,415.00"
179.15,180.55,182.9,177.3,179.4
345.5,346,350.5,340.5,341
"1,714.20","1,708.20","1,730.40","1,706.40","Jan 29, 2018 -"
597.8,600,607.75,592,597
550.85,550.4,557.45,540.1,542
"12,392.30","12,460.00","12,619.00","12,270.05","12,600.00"
"1,782.15","1,782.20","1,804.80","1,772.05","1,784.00"
"1,174.30","1,175.00","1,189.90","1,150.20","1,156.00"
754.9,753.8,763.25,747,752.9
361.9,363.5,368,356.05,361.35
522.45,522.5,528.95,517.65,519.1
"12,592.90","12,645.00","12,800.00","12,507.00","12,520.00"
"14,117.10","14,117.00","14,289.00","13,982.50","14,202.30"
302.95,304.1,307.8,300.55,305
"1,337.50","1,335.00","1,351.20","1,334.90","1,338.00"
746.7,745.05,754,741.75,749.25
464.8,463.4,468.95,458,466
"2,576.50","2,598.90","2,629.95","2,568.60","2,595.50"
552.85,553.2,559.8,542,542.55
"1,594.95","1,598.00","1,617.00","1,575.00","1,579.00"
587.2,593,600,570.05,581.4
"1,740.00","1,745.00","1,765.40","1,743.20","Jan 29, 2018 -"
696.4,696.15,704.2,685.2,687.2
391.55,393.7,398.25,392,395.5
942.65,943.5,954.4,943.5,949.15
507.1,506.5,512.35,498.5,512.25
473.45,472,477.45,471.3,473.25
462.75,465.1,470.45,462.85,468.6
"1,426.65","1,426.65","1,443.05","1,385.00","1,406.00"
"3,040.60","3,048.00","3,083.00","3,041.00","3,058.00"
495,498.1,503.8,491.25,499
